                date                base            percents             payment                debt
          2019-07-27             8000.00                   0                   0             8000.00
          2019-07-28             8000.00                 800             5000.00                3800
          2019-07-29                3800                 380             1433.17             2746.83
          2019-07-30             2746.83             274.683                   0            3021.513
          2019-07-31             2746.83             549.366                   0            3296.196
          2019-08-01             2746.83             824.049              3000.0             570.879
          2019-08-02             570.879             57.0879                   0            627.9669
          2019-08-03             570.879            114.1758                   0            685.0548
          2019-08-04             570.879            171.2637               300.0            442.1427
          2019-08-05            442.1427            44.21427                   0           486.35697
          2019-08-06            442.1427            88.42854                   0           530.57124
          2019-08-07            442.1427           132.64281                   0           574.78551
          2019-08-08            442.1427           176.85708                   0           618.99978
          2019-08-09            442.1427           221.07135              1000.0          -336.78595
You have no debts anymore!
